date,zone,longitude,latitude,temperature,pm10,pm2_5,smog
"January 01, 2021, 12:00 AM",199,17.1093,48.1517,-2.9,22.41,19.61,
"January 01, 2021, 01:00 AM",199,17.1093,48.1517,-3.0,23.22,20.6,
"January 01, 2021, 02:00 AM",199,17.1093,48.1517,-3.2,23.86,21.46,
"January 01, 2021, 03:00 AM",199,17.1093,48.1517,-3.3,24.88,22.49,
"January 01, 2021, 04:00 AM",199,17.1093,48.1517,-3.5,26.15,23.64,
"January 01, 2021, 05:00 AM",199,17.1093,48.1517,-3.5,27.41,24.82,
"January 01, 2021, 06:00 AM",199,17.1093,48.1517,-3.5,29.33,26.47,
"January 01, 2021, 07:00 AM",199,17.1093,48.1517,-3.6,30.4,26.99,
"January 01, 2021, 08:00 AM",199,17.1093,48.1517,-2.3,28.17,24.73,
"January 01, 2021, 09:00 AM",199,17.1093,48.1517,-0.1,23.51,20.19,
"January 01, 2021, 10:00 AM",199,17.1093,48.1517,1.2,18.62,15.54,
"January 01, 2021, 11:00 AM",199,17.1093,48.1517,1.6,17.33,14.3,
"January 01, 2021, 12:00 PM",199,17.1093,48.1517,2.1,16.65,13.74,
"January 01, 2021, 01:00 PM",199,17.1093,48.1517,2.4,16.71,13.86,
"January 01, 2021, 02:00 PM",199,17.1093,48.1517,2.6,16.73,13.87,
"January 01, 2021, 03:00 PM",199,17.1093,48.1517,2.3,16.04,13.25,
"January 01, 2021, 04:00 PM",199,17.1093,48.1517,1.4,14.83,12.24,
"January 01, 2021, 05:00 PM",199,17.1093,48.1517,-0.0,13.3,11.03,
"January 01, 2021, 06:00 PM",199,17.1093,48.1517,-0.5,12.2,10.1,
"January 01, 2021, 07:00 PM",199,17.1093,48.1517,0.1,11.44,9.34,
"January 01, 2021, 08:00 PM",199,17.1093,48.1517,0.4,10.81,8.66,
"January 01, 2021, 09:00 PM",199,17.1093,48.1517,0.1,9.97,7.99,
"January 01, 2021, 10:00 PM",199,17.1093,48.1517,-0.1,9.13,7.17,
"January 01, 2021, 11:00 PM",199,17.1093,48.1517,-0.2,7.8,6.06,
"January 02, 2021, 12:00 AM",199,17.1093,48.1517,-0.2,6.7,5.24,
"January 02, 2021, 01:00 AM",199,17.1093,48.1517,-0.2,5.96,4.72,
"January 02, 2021, 02:00 AM",199,17.1093,48.1517,-0.1,5.3,4.27,
"January 02, 2021, 03:00 AM",199,17.1093,48.1517,0.4,4.74,3.88,
"January 02, 2021, 04:00 AM",199,17.1093,48.1517,1.2,4.25,3.59,
"January 02, 2021, 05:00 AM",199,17.1093,48.1517,1.5,3.97,3.42,
"January 02, 2021, 06:00 AM",199,17.1093,48.1517,1.5,4.1,3.54,
"January 02, 2021, 07:00 AM",199,17.1093,48.1517,1.6,5.05,4.34,
"January 02, 2021, 08:00 AM",199,17.1093,48.1517,2.5,8.15,7.2,
"January 02, 2021, 09:00 AM",199,17.1093,48.1517,3.5,11.48,10.24,
"January 02, 2021, 10:00 AM",199,17.1093,48.1517,4.6,15.73,13.95,
"January 02, 2021, 11:00 AM",199,17.1093,48.1517,5.4,21.14,18.74,
"January 02, 2021, 12:00 PM",199,17.1093,48.1517,6.0,23.0,20.34,
"January 02, 2021, 01:00 PM",199,17.1093,48.1517,6.2,21.69,18.98,
"January 02, 2021, 02:00 PM",199,17.1093,48.1517,5.8,21.07,18.12,
"January 02, 2021, 03:00 PM",199,17.1093,48.1517,5.0,18.64,15.67,
"January 02, 2021, 04:00 PM",199,17.1093,48.1517,4.4,14.92,12.19,
"January 02, 2021, 05:00 PM",199,17.1093,48.1517,4.0,12.3,9.87,
"January 02, 2021, 06:00 PM",199,17.1093,48.1517,3.9,11.0,8.77,
"January 02, 2021, 07:00 PM",199,17.1093,48.1517,3.4,10.22,8.44,
"January 02, 2021, 08:00 PM",199,17.1093,48.1517,3.4,9.52,8.32,
"January 02, 2021, 09:00 PM",199,17.1093,48.1517,3.5,9.07,8.11,
"January 02, 2021, 10:00 PM",199,17.1093,48.1517,3.7,9.07,8.28,
"January 02, 2021, 11:00 PM",199,17.1093,48.1517,3.8,9.26,8.66,
"January 03, 2021, 12:00 AM",199,17.1093,48.1517,3.7,8.77,8.35,
"January 03, 2021, 01:00 AM",199,17.1093,48.1517,3.7,8.04,7.73,
"January 03, 2021, 02:00 AM",199,17.1093,48.1517,3.6,7.54,7.27,
"January 03, 2021, 03:00 AM",199,17.1093,48.1517,3.5,7.27,7.02,
"January 03, 2021, 04:00 AM",199,17.1093,48.1517,3.4,7.23,6.91,
"January 03, 2021, 05:00 AM",199,17.1093,48.1517,3.4,7.58,7.08,
"January 03, 2021, 06:00 AM",199,17.1093,48.1517,3.3,8.46,7.73,
"January 03, 2021, 07:00 AM",199,17.1093,48.1517,3.0,9.21,8.26,
"January 03, 2021, 08:00 AM",199,17.1093,48.1517,3.4,9.53,8.43,
"January 03, 2021, 09:00 AM",199,17.1093,48.1517,3.8,9.75,8.65,
"January 03, 2021, 10:00 AM",199,17.1093,48.1517,4.8,10.01,9.07,
"January 03, 2021, 11:00 AM",199,17.1093,48.1517,5.9,10.59,9.73,
"January 03, 2021, 12:00 PM",199,17.1093,48.1517,6.6,11.1,10.21,
"January 03, 2021, 01:00 PM",199,17.1093,48.1517,6.8,11.59,10.53,
"January 03, 2021, 02:00 PM",199,17.1093,48.1517,6.7,12.44,11.15,
"January 03, 2021, 03:00 PM",199,17.1093,48.1517,6.1,13.1,11.73,
"January 03, 2021, 04:00 PM",199,17.1093,48.1517,5.6,13.4,11.97,
"January 03, 2021, 05:00 PM",199,17.1093,48.1517,5.3,12.81,11.33,
"January 03, 2021, 06:00 PM",199,17.1093,48.1517,5.1,11.9,10.38,
"January 03, 2021, 07:00 PM",199,17.1093,48.1517,5.9,11.3,9.76,
"January 03, 2021, 08:00 PM",199,17.1093,48.1517,5.6,11.19,9.54,
"January 03, 2021, 09:00 PM",199,17.1093,48.1517,5.3,11.1,9.35,
"January 03, 2021, 10:00 PM",199,17.1093,48.1517,4.7,10.67,8.94,
"January 03, 2021, 11:00 PM",199,17.1093,48.1517,4.0,9.59,8.11,
"January 04, 2021, 12:00 AM",199,17.1093,48.1517,3.6,8.31,7.14,
"January 04, 2021, 01:00 AM",199,17.1093,48.1517,3.6,7.07,6.19,
"January 04, 2021, 02:00 AM",199,17.1093,48.1517,3.6,5.89,5.23,
"January 04, 2021, 03:00 AM",199,17.1093,48.1517,3.9,5.73,5.1,
"January 04, 2021, 04:00 AM",199,17.1093,48.1517,4.1,6.1,5.44,
"January 04, 2021, 05:00 AM",199,17.1093,48.1517,4.3,6.53,5.84,
"January 04, 2021, 06:00 AM",199,17.1093,48.1517,4.3,7.21,6.5,
"January 04, 2021, 07:00 AM",199,17.1093,48.1517,3.7,8.39,7.56,
"January 04, 2021, 08:00 AM",199,17.1093,48.1517,4.1,10.23,9.18,
"January 04, 2021, 09:00 AM",199,17.1093,48.1517,4.6,11.62,10.42,
"January 04, 2021, 10:00 AM",199,17.1093,48.1517,5.0,13.07,11.82,
"January 04, 2021, 11:00 AM",199,17.1093,48.1517,5.4,12.7,11.39,
"January 04, 2021, 12:00 PM",199,17.1093,48.1517,5.6,11.29,10.0,
"January 04, 2021, 01:00 PM",199,17.1093,48.1517,5.8,10.04,8.85,
"January 04, 2021, 02:00 PM",199,17.1093,48.1517,5.8,9.46,8.38,
"January 04, 2021, 03:00 PM",199,17.1093,48.1517,5.7,9.8,8.62,
"January 04, 2021, 04:00 PM",199,17.1093,48.1517,5.5,10.73,9.33,
